where,curve_idx,direction,a5,a4,a3,a2,a1,a0
1-1,0,1,-2.8697043709983996e-13,4.5383524891190506e-10,-2.4913474893073317e-07,5.594087860276569e-05,0.002852015341176784,10.131663115144596
1-1,1,1,-2.8697043709983996e-13,4.5383524891190506e-10,-2.4913474893073317e-07,5.594087860276569e-05,0.002852015341176784,13.98166
1-1,2,1,-2.8697043709983996e-13,4.5383524891190506e-10,-2.4913474893073317e-07,5.594087860276569e-05,0.002852015341176784,17.73166
1-1,3,1,-2.8697043709983996e-13,4.5383524891190506e-10,-2.4913474893073317e-07,5.594087860276569e-05,0.002852015341176784,21.58166
1-1,4,2,-4.789827429287594e-13,5.017566267511211e-10,-1.7713573746720953e-07,2.7532549979390646e-05,0.006586834111928092,25.52697
1-1,5,2,-4.789827429287594e-13,5.017566267511211e-10,-1.7713573746720953e-07,2.7532549979390646e-05,0.006586834111928092,29.37697
1-1,6,2,-4.789827429287594e-13,5.017566267511211e-10,-1.7713573746720953e-07,2.7532549979390646e-05,0.006586834111928092,33.12697
1-1,7,2,-4.789827429287594e-13,5.017566267511211e-10,-1.7713573746720953e-07,2.7532549979390646e-05,0.006586834111928092,36.97697525604672
1-2,0,1,1.8844489886462196e-13,-1.0384994378972738e-10,-9.880871231949187e-09,1.1783340817251928e-05,0.010783233707546627,8.496840530238801
1-2,1,1,1.8844489886462196e-13,-1.0384994378972738e-10,-9.880871231949187e-09,1.1783340817251928e-05,0.010783233707546627,12.3468405
1-2,2,1,1.8844489886462196e-13,-1.0384994378972738e-10,-9.880871231949187e-09,1.1783340817251928e-05,0.010783233707546627,16.0968405
1-2,3,1,1.8844489886462196e-13,-1.0384994378972738e-10,-9.880871231949187e-09,1.1783340817251928e-05,0.010783233707546627,19.9468405
1-2,4,2,-1.0731962291125249e-12,1.0624119286628631e-09,-3.562947358995208e-07,4.868882263223829e-05,0.010659902636325108,24.0622055
1-2,5,2,-1.0731962291125249e-12,1.0624119286628631e-09,-3.562947358995208e-07,4.868882263223829e-05,0.010659902636325108,27.9122055
1-2,6,2,-1.0731962291125249e-12,1.0624119286628631e-09,-3.562947358995208e-07,4.868882263223829e-05,0.010659902636325108,31.6622055
1-2,7,2,-1.0731962291125249e-12,1.0624119286628631e-09,-3.562947358995208e-07,4.868882263223829e-05,0.010659902636325108,35.51220559230983
