where,curve_idx,direction,a5,a4,a3,a2,a1,a0
4-1,0,1,2.4242218194313175e-13,-2.652292348868102e-10,9.810751160712892e-09,2.4771338823693346e-05,0.0012005724143803948,11.072246367236069
4-1,1,1,2.4242218194313175e-13,-2.652292348868102e-10,9.810751160712892e-09,2.4771338823693346e-05,0.0012005724143803948,14.922246367236069
4-1,2,1,1.0180836351314926e-13,-4.91773502076318e-11,-9.165933051987913e-08,4.253758467336615e-05,0.00010170537015289804,18.66221812446906
4-1,3,1,1.0180836351314926e-13,-4.91773502076318e-11,-9.165933051987913e-08,4.253758467336615e-05,0.00010170537015289804,22.51221812446906
4-1,4,2,1.983565075002214e-12,-1.888417498788105e-09,5.214282142611599e-07,-3.555001279677858e-05,0.00259033587634319,26.83509868125946
4-1,5,2,1.983565075002214e-12,-1.888417498788105e-09,5.214282142611599e-07,-3.555001279677858e-05,0.00259033587634319,30.68509868125946
4-1,6,2,-1.2940261204903857e-13,2.0832990475994992e-10,-2.046404974546407e-07,6.720184135189074e-05,-0.0026712744153873564,34.48435338995613
4-1,7,2,-1.2940261204903857e-13,2.0832990475994992e-10,-2.046404974546407e-07,6.720184135189074e-05,-0.0026712744153873564,38.33435338995613
4-2,0,1,4.979283578272387e-13,-5.402097271240901e-10,1.1401950789389715e-07,8.651589623471483e-06,0.002602810646949378,10.767564158937063
4-2,1,1,4.979283578272387e-13,-5.402097271240901e-10,1.1401950789389715e-07,8.651589623471483e-06,0.002602810646949378,14.617564158937062
4-2,2,1,-5.073782422128259e-13,6.118255289811425e-10,-3.4261021237016234e-07,8.221366077262477e-05,-0.0019440230733132962,18.459508841116957
4-2,3,1,-5.073782422128259e-13,6.118255289811425e-10,-3.4261021237016234e-07,8.221366077262477e-05,-0.0019440230733132962,22.30950884111696
4-2,4,2,-4.578789937907429e-13,5.357405871428241e-10,-3.138520637712646e-07,7.977306128982824e-05,-0.002160187153753319,26.63181587746239
4-2,5,2,-4.578789937907429e-13,5.357405871428241e-10,-3.138520637712646e-07,7.977306128982824e-05,-0.002160187153753319,30.48181587746239
4-2,6,2,1.1143544167301141e-13,-5.0144444309041644e-11,-1.0889392778261835e-07,5.3325860065248806e-05,-0.0016532234699804355,34.28855815733408
4-2,7,2,1.1143544167301141e-13,-5.0144444309041644e-11,-1.0889392778261835e-07,5.3325860065248806e-05,-0.0016532234699804355,38.13855815733408
